ID_Transaction,deviceCategory,operatingSystem,campaign,medium,continent,Products,Products_Category,CA
ORD201703202224,desktop,Windows,(not set),(none),Americas,86,4,24775.060000000005
ORD201704272630,desktop,Macintosh,(not set),(none),Americas,6,2,24773.399999999998
ORD201612072859,desktop,Macintosh,(not set),(none),Americas,30,4,24627.150000000005
ORD201701042413,mobile,Android,(not set),(none),Americas,50,8,24408.709999999995
ORD201705052094,desktop,Windows,(not set),(none),Asia,36,6,23881.329999999994
ORD201610182122,desktop,Macintosh,(not set),organic,Americas,56,8,23826.319999999996
ORD201704182262,desktop,Windows,(not set),organic,Americas,60,7,22405.2
ORD201703282363,desktop,Macintosh,(not set),(none),Americas,46,11,22037.450000000004
ORD201608251639,desktop,Windows,(not set),organic,Americas,42,1,21555.87
ORD201703272334,desktop,Chrome OS,(not set),(none),Americas,20,4,20928.100000000002
ORD201705302354,desktop,Windows,(not set),organic,Americas,40,5,20770.680000000004
ORD201703202217,desktop,Chrome OS,(not set),(none),Americas,42,8,20678.700000000008
ORD201609271741,desktop,Macintosh,(not set),(none),Asia,12,1,20368.8
ORD201612083235,desktop,Windows,(not set),(none),Americas,40,6,19745.999999999993
ORD201703152302,desktop,Chrome OS,(not set),organic,Americas,62,8,19618.970000000005
ORD201611022014,desktop,Chrome OS,(not set),(none),Americas,28,1,19416.1
ORD201701122070,desktop,Chrome OS,(not set),(none),Americas,32,6,19118.080000000009
ORD201706171432,desktop,Macintosh,(not set),(none),Americas,60,6,19082.850000000002
ORD201611032203,desktop,Chrome OS,(not set),(none),Americas,32,5,18908.640000000007
ORD201609011752,desktop,Macintosh,(not set),(none),Americas,44,1,18238.0
ORD201611162510,desktop,Macintosh,(not set),(none),Americas,18,5,17982.0
ORD201707212424,desktop,Windows,(not set),(none),Americas,44,5,17978.6
ORD201707312641,desktop,Windows,(not set),organic,Americas,44,3,17863.119999999992
ORD201701201907,desktop,Windows,(not set),(none),Americas,44,5,17659.400000000005
ORD201701221539,desktop,Macintosh,(not set),(none),Americas,36,4,17289.899999999994
ORD201610161443,desktop,Windows,(not set),(none),Americas,44,8,17013.48
ORD201702012320,desktop,Macintosh,(not set),(none),Americas,38,5,17006.52
ORD201701271873,desktop,Macintosh,(not set),(none),Americas,22,3,16889.510000000002
ORD201703012202,desktop,Chrome OS,(not set),(none),Americas,28,7,16649.780000000002
ORD201705192398,desktop,Windows,(not set),(none),Americas,26,4,16505.09
ORD201702162390,desktop,Macintosh,(not set),(none),Americas,26,3,16489.199999999997
ORD201610192072,mobile,Android,(not set),(none),Americas,28,4,16475.060000000005
ORD201608121779,desktop,Macintosh,(not set),(none),Americas,44,1,16461.940000000006
ORD201702132150,desktop,Windows,(not set),(none),Americas,46,10,16426.600000000006
ORD201608251605,desktop,Macintosh,(not set),(none),Americas,8,1,16350.0
ORD201701262118,desktop,Macintosh,(not set),(none),Americas,46,7,16295.409999999993
ORD201611041974,desktop,Windows,(not set),(none),Americas,40,5,16136.399999999996
ORD201612132887,desktop,Macintosh,(not set),(none),Americas,32,5,16088.0
ORD201702222277,desktop,Macintosh,(not set),(none),Americas,22,6,16007.529999999997
ORD201702202070,desktop,Windows,(not set),(none),Americas,32,7,15657.44
ORD201701052096,desktop,Chrome OS,(not set),(none),Americas,16,3,15584.0
ORD201608221770,desktop,Macintosh,(not set),(none),Americas,10,1,15487.239999999998
ORD201611261881,desktop,Macintosh,(not set),(none),Americas,12,4,15294.0
ORD201612133281,desktop,Macintosh,(not set),(none),Americas,20,2,15103.899999999998
ORD201608051806,desktop,Chrome OS,AW - Dynamic Search Ads Whole Site,cpc,Americas,56,1,14974.959999999995
ORD201612123689,desktop,Chrome OS,(not set),(none),Americas,50,4,14721.750000000009
ORD201708012578,desktop,Macintosh,(not set),(none),Americas,10,4,14678.050000000001
ORD201703222332,desktop,Windows,(not set),referral,Americas,24,5,14677.439999999995
ORD201705232312,desktop,Macintosh,(not set),(none),Americas,44,7,14585.119999999992
ORD201704102300,desktop,Windows,(not set),organic,Americas,32,3,14497.760000000002
ORD201706302512,desktop,Windows,(not set),cpm,Americas,24,5,14468.88
ORD201707182809,desktop,Macintosh,(not set),(none),Americas,12,2,14449.2
ORD201703232647,desktop,Chrome OS,(not set),(none),Americas,26,7,14360.970000000005
ORD201611172413,desktop,Macintosh,(not set),(none),Americas,22,4,14121.029999999997
ORD201701161773,desktop,Chrome OS,(not set),(none),Americas,30,4,13877.4
ORD201610211847,desktop,Windows,(not set),(none),Americas,14,3,13849.5
ORD201612123690,desktop,Macintosh,(not set),referral,Americas,46,4,13823.22
ORD201612222064,desktop,Macintosh,(not set),(none),Americas,18,3,13761.0
ORD201707202657,desktop,Chrome OS,(not set),organic,Americas,46,7,13758.140000000003
ORD201608181699,desktop,Macintosh,(not set),(none),Americas,20,1,13694.599999999999
ORD201702212334,desktop,Macintosh,(not set),(none),Americas,20,6,13645.1
ORD20160801510,desktop,Macintosh,(not set),(none),Americas,12,1,13280.280000000002
ORD201707272523,desktop,Chrome OS,(not set),(none),Americas,26,5,13262.470000000005
ORD201705302361,desktop,Macintosh,(not set),(none),Americas,46,7,13232.190000000004
ORD201705242563,desktop,Macintosh,(not set),(none),Americas,12,5,13224.0
ORD201705032321,mobile,Android,(not set),(none),Americas,28,6,13034.699999999997
ORD201706122564,desktop,Macintosh,(not set),(none),Americas,18,3,12993.75
ORD201608111809,desktop,Macintosh,(not set),(none),Americas,30,1,12880.480000000003
ORD201612063204,desktop,Macintosh,(not set),(none),Americas,12,3,12694.8
ORD201705102171,desktop,Windows,(not set),(none),Americas,24,4,12511.200000000003
ORD201610281812,desktop,Chrome OS,(not set),(none),Americas,24,4,12359.400000000003
ORD201704263839,desktop,Chrome OS,(not set),organic,Americas,36,8,12340.44
ORD201707252629,desktop,Macintosh,(not set),organic,Americas,28,7,12280.099999999997
ORD201701182139,desktop,Macintosh,(not set),referral,Americas,18,2,12237.300000000001
ORD201702162384,desktop,Macintosh,(not set),(none),Americas,20,4,12217.5
ORD201611283845,desktop,Macintosh,(not set),(none),Americas,44,1,12210.0
ORD201702142254,desktop,Chrome OS,(not set),(none),Americas,22,5,12150.38
ORD201701271860,desktop,Windows,(not set),(none),Americas,30,3,12111.600000000004
ORD201703051595,desktop,Windows,(not set),organic,Americas,32,6,12098.880000000003
ORD201611162447,desktop,Windows,(not set),(none),Americas,32,4,12084.799999999997
ORD201706212537,desktop,Macintosh,(not set),(none),Americas,30,3,11904.749999999996
ORD201703202209,desktop,Macintosh,(not set),(none),Americas,32,6,11739.679999999997
ORD201704112295,desktop,Chrome OS,(not set),(none),Americas,30,2,11711.7
ORD201612203083,desktop,Windows,(not set),(none),Americas,34,2,11589.579999999998
ORD201701052118,desktop,Chrome OS,(not set),(none),Americas,14,5,11461.94
ORD201701052127,desktop,Chrome OS,(not set),(none),Americas,16,5,11444.399999999998
ORD201707112646,desktop,Chrome OS,(not set),organic,Americas,58,8,11441.770000000002
ORD201705052071,desktop,Chrome OS,(not set),(none),Americas,28,5,11317.599999999997
ORD201702232204,desktop,Chrome OS,(not set),(none),Americas,30,4,11222.850000000004
ORD201707112539,desktop,Macintosh,(not set),(none),Americas,24,3,11181.12
ORD201703312007,desktop,Macintosh,(not set),organic,Americas,32,8,11084.959999999995
ORD201704192242,desktop,Windows,(not set),cpm,Americas,6,1,11033.76
ORD201706212480,desktop,Windows,(not set),(none),Americas,4,2,11002.0
ORD201702241941,desktop,Macintosh,(not set),(none),Americas,18,5,10983.150000000001
ORD201612162984,desktop,Chrome OS,(not set),(none),Americas,30,6,10967.4
ORD20160813899,desktop,Windows,(not set),organic,Americas,52,1,10912.46
ORD201703292257,desktop,Chrome OS,(not set),(none),Americas,20,6,10906.800000000001
ORD201706202329,desktop,Windows,(not set),organic,Oceania,38,6,10833.039999999999
ORD201612123672,desktop,Windows,(not set),(none),Americas,26,4,10781.550000000003
ORD201704052334,desktop,Macintosh,(not set),(none),Europe,48,4,10740.960000000005
ORD201704062371,desktop,Macintosh,AW - Accessories,cpc,Americas,14,6,10683.26
ORD201702032006,desktop,Chrome OS,(not set),(none),Americas,18,5,10624.23
ORD201610281814,desktop,Macintosh,(not set),(none),Americas,26,5,10596.82
ORD201612152978,desktop,Chrome OS,(not set),(none),Americas,18,5,10549.349999999999
ORD201704052330,desktop,Macintosh,(not set),(none),Americas,38,3,10516.500000000002
ORD201701092214,desktop,Macintosh,(not set),(none),Americas,16,2,10484.72
ORD201706122607,desktop,Windows,(not set),organic,Americas,20,3,10366.900000000003
ORD201608071000,desktop,Macintosh,(not set),(none),Americas,16,1,10288.0
ORD201612152863,desktop,Macintosh,(not set),(none),Americas,18,4,10267.11
ORD201707072445,desktop,Windows,(not set),(none),Americas,24,5,10258.419999999998
ORD201704192222,desktop,Macintosh,(not set),(none),Americas,30,4,10239.749999999996
ORD201608261319,desktop,Windows,(not set),organic,Americas,24,1,10233.719999999996
ORD201703212360,desktop,Windows,(not set),(none),Americas,28,6,10230.780000000002
ORD201610141924,desktop,Chrome OS,(not set),(none),Americas,22,2,10218.340000000004
ORD201612133267,desktop,Windows,(not set),(none),Americas,24,1,10132.32
ORD201611293496,desktop,Macintosh,(not set),(none),Americas,18,3,10115.19
ORD201702241928,desktop,Macintosh,(not set),(none),Americas,34,8,10092.560000000001
ORD201610262193,desktop,Macintosh,(not set),(none),Americas,36,8,10025.279999999999
ORD201703132332,desktop,Windows,(not set),(none),Americas,22,5,9958.3
ORD201609121695,desktop,Macintosh,(not set),(none),Americas,18,1,9917.4600000000028
ORD201701312040,desktop,Chrome OS,(not set),(none),Americas,22,6,9906.8200000000015
ORD20160806955,desktop,Macintosh,(not set),referral,Americas,20,1,9861.4999999999982
ORD201708012448,desktop,Chrome OS,(not set),(none),Americas,20,7,9857.2999999999975
ORD201702212329,desktop,Windows,(not set),referral,Americas,22,5,9827.51
ORD201612203175,desktop,Windows,(not set),(none),Americas,26,7,9805.9
ORD201701122072,desktop,Macintosh,(not set),(none),Americas,36,6,9564.12
ORD201701172465,desktop,Macintosh,(not set),(none),Americas,28,6,9520.7
ORD201608081915,desktop,Chrome OS,(not set),(none),Americas,14,1,9506.63
ORD201707282434,desktop,Chrome OS,(not set),(none),Americas,34,6,9384.85
ORD201610202189,desktop,Chrome OS,(not set),organic,Americas,32,1,9356.2899999999991
ORD201610192073,desktop,Chrome OS,(not set),(none),Americas,20,5,9237.0
ORD201608312261,desktop,Macintosh,(not set),organic,Americas,34,1,9215.869999999999
ORD201611293508,desktop,Macintosh,(not set),(none),Americas,24,6,9211.68
ORD201612281798,desktop,Macintosh,(not set),(none),Americas,18,6,9180.5399999999972
ORD201702132143,desktop,Windows,(not set),(none),Americas,20,6,9175.0
ORD201612063209,desktop,Windows,(not set),referral,Americas,14,5,9164.4
ORD20160828906,desktop,Macintosh,(not set),(none),Americas,16,1,9120.0
ORD201701252879,desktop,Chrome OS,(not set),(none),Americas,44,8,9118.779999999997
ORD201707242529,desktop,Macintosh,(not set),(none),Americas,46,4,9043.3699999999972
ORD201612053156,desktop,Windows,(not set),(none),Americas,16,6,8964.57
ORD201701161768,desktop,Windows,(not set),referral,Americas,20,5,8955.6999999999989
ORD201708012584,desktop,Windows,(not set),(none),Americas,44,7,8936.619999999999
ORD201702251402,desktop,Windows,(not set),referral,Americas,34,5,8922.79
ORD201703212348,desktop,Chrome OS,(not set),(none),Americas,22,4,8817.159999999998
ORD20160820910,desktop,Chrome OS,(not set),organic,Americas,12,1,8734.62
ORD201703191451,desktop,Windows,(not set),(none),Americas,28,6,8710.8
ORD201612202572,desktop,Macintosh,(not set),(none),Americas,14,4,8708.35
ORD201612072868,desktop,Macintosh,(not set),(none),Americas,14,2,8706.95
ORD201611172404,desktop,Chrome OS,(not set),(none),Americas,24,5,8675.1600000000017
ORD201611172423,desktop,Windows,(not set),(none),Americas,30,3,8666.25
ORD201703132319,desktop,Windows,(not set),organic,Americas,20,4,8571.0000000000018
ORD201703202220,desktop,Macintosh,AW - Accessories,cpc,Americas,20,5,8552.1999999999989
ORD201611082054,desktop,Windows,(not set),(none),Americas,34,4,8537.95
ORD201611131611,desktop,Chrome OS,(not set),(none),Americas,26,6,8503.3000000000011
ORD201703162055,desktop,Windows,(not set),referral,Americas,22,6,8473.74
ORD201703152294,desktop,Macintosh,(not set),(none),Americas,20,4,8437.0
ORD201612162981,desktop,Windows,(not set),(none),Americas,18,5,8386.8
ORD201611091934,desktop,Windows,(not set),(none),Americas,24,3,8346.3
ORD201705052095,desktop,Macintosh,(not set),cpm,Americas,6,2,8322.33
ORD201608091898,desktop,Macintosh,(not set),(none),Americas,34,1,8307.7299999999977
ORD20160813713,desktop,Chrome OS,(not set),(none),Americas,34,1,8295.4900000000034
ORD201701191990,mobile,Android,(not set),(none),Americas,16,4,8292.4
ORD201609191112,desktop,Macintosh,(not set),(none),Americas,12,1,8230.02
ORD201707262691,desktop,Chrome OS,(not set),(none),Americas,18,3,8167.5
ORD201611142665,desktop,Chrome OS,(not set),(none),Americas,20,5,8133.5999999999985
ORD201703092027,desktop,Chrome OS,(not set),(none),Americas,14,5,8129.3099999999995
ORD201608111814,desktop,Macintosh,(not set),(none),Americas,48,1,8109.8399999999983
ORD201708012550,desktop,Chrome OS,(not set),(none),Americas,16,7,8054.2399999999989
ORD201612153006,desktop,Macintosh,(not set),(none),Americas,36,6,8024.5800000000036
ORD201702022253,desktop,Macintosh,(not set),(none),Americas,22,3,8022.3000000000011
ORD201611152541,desktop,Macintosh,(not set),(none),Americas,22,6,8021.1999999999989
ORD201705173287,desktop,Chrome OS,(not set),(none),Americas,26,4,8010.21
ORD201707072432,desktop,Macintosh,(not set),(none),Americas,18,3,7949.25
ORD201612053128,desktop,Chrome OS,(not set),(none),Americas,14,4,7935.4100000000008
ORD201611022040,desktop,Chrome OS,(not set),(none),Americas,14,4,7903.4199999999983
ORD201608231845,desktop,Macintosh,(not set),organic,Americas,12,1,7884.06
ORD201611102218,desktop,Windows,(not set),(none),Americas,24,5,7775.1600000000008
ORD201609011754,desktop,Macintosh,(not set),(none),Americas,44,1,7771.720000000003
ORD201701092258,mobile,Android,(not set),(none),Americas,14,5,7769.2999999999993
ORD201612053180,desktop,Macintosh,(not set),(none),Americas,34,6,7697.2000000000025
ORD201612092806,desktop,Windows,(not set),(none),Americas,44,8,7625.6399999999985
ORD201610122129,desktop,Chrome OS,(not set),(none),Americas,34,1,7611.75
ORD201702102110,desktop,Chrome OS,(not set),(none),Americas,24,5,7536.0
ORD201702202034,desktop,Chrome OS,(not set),(none),Americas,10,4,7531.0
ORD201610062163,desktop,Macintosh,(not set),(none),Americas,30,1,7530.4499999999971
ORD201612092286,desktop,Macintosh,(not set),(none),Americas,12,5,7529.4
ORD201702142241,desktop,Windows,(not set),referral,Americas,16,5,7486.4799999999977
ORD201705163203,desktop,Chrome OS,(not set),organic,Americas,34,3,7455.3500000000022
ORD201612132993,desktop,Chrome OS,(not set),(none),Americas,20,4,7424.7999999999993
ORD201612291493,desktop,Windows,(not set),(none),Americas,10,1,7418.1500000000005
ORD201704301386,desktop,Windows,(not set),organic,Americas,36,2,7395.39
ORD201611303341,desktop,Chrome OS,(not set),(none),Americas,32,4,7383.8399999999974
ORD201707221645,desktop,Macintosh,(not set),(none),Americas,26,4,7325.5
ORD201609152142,desktop,Macintosh,(not set),(none),Americas,40,1,7292.800000000002
ORD201703222323,desktop,Chrome OS,(not set),(none),Americas,20,6,7279.2
ORD201701243546,desktop,Macintosh,(not set),(none),Americas,16,4,7250.1600000000017
ORD201611022067,desktop,Windows,(not set),referral,Americas,24,6,7235.8799999999983
ORD201612132968,desktop,Chrome OS,(not set),(none),Americas,28,4,7224.5599999999995
ORD201706152234,desktop,Chrome OS,(not set),(none),Americas,12,1,7189.2
ORD201706122540,desktop,Macintosh,AW - Accessories,cpc,Americas,22,5,7185.5299999999988
ORD201707312591,mobile,Android,(not set),(none),Americas,22,3,7134.6000000000013
ORD201611231995,desktop,Macintosh,(not set),(none),Americas,40,7,7055.5999999999967
ORD201704282218,desktop,Macintosh,(not set),(none),Americas,18,4,7042.68
ORD201612123195,desktop,Macintosh,(not set),(none),Americas,2,1,7003.5
ORD201705112361,desktop,Chrome OS,(not set),(none),Americas,30,7,7000.05
ORD201707312584,desktop,Windows,(not set),(none),Americas,14,7,6997.76
ORD201707312653,desktop,Chrome OS,(not set),(none),Americas,14,7,6976.76
ORD201612063208,desktop,Chrome OS,(not set),(none),Americas,18,4,6936.2999999999993
ORD201609281845,desktop,Macintosh,(not set),(none),Americas,18,1,6925.9500000000007
ORD201707102814,desktop,Macintosh,(not set),(none),Americas,30,5,6925.0300000000007
ORD201612281795,desktop,Windows,(not set),organic,Americas,18,1,6919.2000000000007
ORD201609281842,desktop,Macintosh,(not set),(none),Americas,18,1,6916.9500000000007
ORD201704202210,desktop,Linux,(not set),(none),Americas,38,6,6864.1300000000028
ORD201702282108,desktop,Windows,(not set),(none),Americas,20,4,6845.5999999999985
ORD201611142627,desktop,Windows,(not set),(none),Americas,18,3,6835.0499999999993
ORD201705302348,desktop,Chrome OS,(not set),(none),Americas,24,5,6819.0
ORD201609081666,desktop,Chrome OS,AW - Dynamic Search Ads Whole Site,cpc,Americas,34,1,6810.369999999999
ORD201612092693,desktop,Windows,(not set),(none),Americas,10,3,6800.0
ORD201608051531,desktop,Windows,(not set),organic,Americas,26,1,6765.8499999999985
ORD201611303347,desktop,Macintosh,(not set),(none),Americas,10,4,6758.9
ORD201612053120,desktop,Macintosh,(not set),(none),Americas,16,5,6753.28
ORD201611082052,desktop,Windows,(not set),(none),Americas,18,3,6730.2000000000007
ORD201610242057,desktop,Chrome OS,(not set),(none),Americas,40,4,6706.8000000000011
ORD201612022430,desktop,Chrome OS,(not set),(none),Americas,34,6,6702.0799999999981
ORD201609281862,desktop,Chrome OS,(not set),(none),Americas,38,1,6654.3699999999972
ORD201707282429,desktop,Windows,(not set),(none),Americas,28,5,6645.76
ORD201608181811,desktop,Macintosh,(not set),(none),Americas,36,1,6618.4199999999973
ORD201611011927,desktop,Chrome OS,(not set),(none),Americas,14,4,6598.41
ORD201704252246,desktop,Macintosh,(not set),(none),Americas,18,5,6597.72
ORD201705302343,desktop,Macintosh,(not set),(none),Americas,12,2,6575.1599999999989
ORD201703072354,desktop,Macintosh,(not set),(none),Americas,40,5,6572.1999999999989
ORD201612123686,desktop,Macintosh,(not set),(none),Americas,24,6,6549.0
ORD201612143099,desktop,Chrome OS,(not set),(none),Americas,28,6,6548.5
ORD201611303289,mobile,Android,(not set),(none),Americas,10,4,6510.0
ORD201611182113,desktop,Macintosh,(not set),(none),Americas,20,5,6435.0
ORD201610112071,desktop,Windows,(not set),(none),Americas,8,1,6424.8
ORD201610132216,desktop,Chrome OS,(not set),(none),Americas,22,6,6406.5099999999993
ORD201612063178,desktop,Macintosh,(not set),(none),Americas,14,3,6399.75
ORD201705312620,desktop,Windows,(not set),(none),Americas,28,4,6390.2999999999984
ORD201704021571,desktop,Macintosh,(not set),(none),Americas,30,4,6372.8999999999987
ORD20160801553,desktop,Windows,(not set),(none),Africa,8,1,6369.6
ORD201608181825,desktop,Macintosh,(not set),(none),Americas,34,1,6365.5599999999986
ORD201610192075,mobile,Android,(not set),(none),Americas,24,7,6364.6800000000012
ORD201702102119,desktop,Windows,(not set),(none),Americas,14,5,6350.3300000000017
ORD201705082173,desktop,Chrome OS,(not set),(none),Americas,24,6,6346.7999999999984
ORD201707282406,desktop,Macintosh,(not set),(none),Americas,10,2,6340.4
ORD201707142289,desktop,Chrome OS,(not set),(none),Americas,42,6,6284.0399999999972
ORD201703212362,desktop,Macintosh,(not set),(none),Americas,20,4,6277.5
ORD201706192360,desktop,Windows,(not set),(none),Americas,2,1,6252.75
ORD201610262187,desktop,Chrome OS,(not set),(none),Americas,26,3,6233.760000000002
ORD201704062230,desktop,Macintosh,(not set),(none),Americas,10,1,6211.9000000000005
ORD201703202210,desktop,Windows,(not set),referral,Americas,20,6,6144.6
ORD201705302350,desktop,Windows,(not set),(none),Americas,22,1,6111.6000000000013
ORD201703261485,desktop,Windows,(not set),(none),Americas,24,3,6096.3599999999979
ORD201612092109,desktop,Macintosh,(not set),(none),Americas,12,2,6094.9800000000005
ORD201701131867,desktop,Chrome OS,(not set),(none),Americas,24,2,6094.0800000000008
ORD201611102209,desktop,Windows,(not set),(none),Americas,14,4,6092.87
ORD201702282107,mobile,Android,(not set),(none),Americas,18,4,6080.4000000000005
ORD201703282367,desktop,Macintosh,(not set),(none),Americas,4,1,6054.2
ORD201703041515,desktop,Windows,(not set),(none),Americas,146,1,6051.3000000000029
ORD201610141937,mobile,Android,(not set),(none),Americas,18,4,6044.4000000000005
ORD201609281838,desktop,Windows,(not set),(none),Americas,12,1,6015.54
ORD201705163216,desktop,Macintosh,(not set),(none),Americas,14,4,5994.7999999999993
ORD201703272332,desktop,Macintosh,(not set),organic,Americas,12,4,5992.8
ORD201612013015,desktop,Chrome OS,(not set),(none),Americas,24,4,5988.6000000000013
ORD201701062127,desktop,Chrome OS,(not set),(none),Americas,12,3,5979.9
ORD201610171855,desktop,Chrome OS,(not set),(none),Americas,24,6,5977.56
ORD201703181349,desktop,Windows,(not set),referral,Americas,70,10,5971.0799999999981
ORD201608251623,desktop,Windows,(not set),organic,Americas,8,1,5917.4
ORD201608171881,desktop,Macintosh,(not set),(none),Americas,34,1,5903.93
ORD201704141691,desktop,Macintosh,(not set),(none),Americas,6,2,5881.65
ORD201702062215,desktop,Macintosh,(not set),(none),Americas,24,3,5868.4800000000005
ORD201611182125,mobile,Android,(not set),(none),Americas,16,5,5865.5999999999995
ORD201609291792,desktop,Macintosh,(not set),(none),Americas,16,1,5859.84
ORD201704172112,desktop,Macintosh,(not set),organic,Americas,12,1,5848.6200000000008
ORD201705131338,desktop,Windows,(not set),(none),Americas,24,6,5813.5199999999995
ORD201701291572,desktop,Macintosh,(not set),(none),Americas,10,4,5794.0
ORD201702012318,desktop,Chrome OS,(not set),(none),Americas,34,2,5786.5400000000009
ORD201608121793,desktop,Macintosh,(not set),(none),Americas,10,1,5778.0
ORD201702092399,desktop,Windows,(not set),(none),Americas,4,2,5754.0
ORD201704282241,desktop,Windows,(not set),(none),Americas,20,5,5751.9999999999991
ORD201701122043,mobile,Android,(not set),(none),Americas,10,2,5701.75
ORD201611232437,desktop,Windows,(not set),referral,Americas,14,3,5693.03
ORD201611283832,desktop,Chrome OS,(not set),(none),Americas,14,4,5684.56
ORD201701081482,desktop,Macintosh,(not set),organic,Americas,20,3,5678.5000000000009
ORD201609131588,desktop,Windows,(not set),(none),Americas,30,1,5668.4999999999991
ORD201612162949,desktop,Windows,(not set),referral,Americas,14,5,5645.2900000000009
ORD201705222395,desktop,Chrome OS,(not set),(none),Americas,22,4,5623.5299999999988
ORD201707062476,desktop,Macintosh,(not set),(none),Europe,18,1,5575.9500000000007
ORD201609131587,desktop,Windows,(not set),(none),Americas,20,1,5558.8799999999992
ORD201701032563,desktop,Macintosh,(not set),(none),Americas,14,3,5542.15
ORD201703102014,desktop,Macintosh,(not set),(none),Americas,10,2,5530.0
ORD201702272229,desktop,Macintosh,AW - Accessories,cpc,Americas,16,6,5523.1999999999989
ORD201707312390,desktop,Macintosh,(not set),(none),Americas,18,1,5512.9500000000007
ORD201608291596,desktop,Windows,(not set),referral,Americas,28,1,5508.44
ORD201610072104,desktop,Linux,(not set),(none),Americas,26,1,5463.6399999999976
ORD201610262089,desktop,Macintosh,(not set),(none),Americas,8,1,5444.0
ORD201608251570,desktop,Chrome OS,(not set),organic,Americas,30,1,5441.85
ORD201608171886,desktop,Windows,(not set),organic,Americas,30,1,5440.1999999999989
ORD201608051798,desktop,Linux,(not set),(none),Americas,56,1,5416.3199999999979
ORD201611283841,desktop,Windows,(not set),(none),Americas,22,2,5410.35
ORD201702152491,desktop,Windows,(not set),(none),Americas,18,4,5400.36
ORD201612271849,desktop,Macintosh,(not set),(none),Americas,30,6,5387.3999999999987
ORD201702062201,desktop,Macintosh,(not set),(none),Americas,10,2,5370.7000000000007
ORD201702082366,desktop,Macintosh,(not set),(none),Americas,22,2,5368.3299999999981
ORD201703222325,desktop,Macintosh,(not set),(none),Americas,28,4,5360.8799999999983
ORD201610062184,desktop,Macintosh,(not set),(none),Americas,32,1,5360.0
ORD201609261878,desktop,Macintosh,(not set),(none),Americas,18,1,5342.58
ORD201706282673,desktop,Windows,(not set),organic,Americas,30,1,5341.65
ORD201703292224,desktop,Chrome OS,(not set),organic,Americas,12,3,5338.6799999999994
ORD201611232421,mobile,Android,(not set),(none),Americas,16,3,5324.8
ORD201611232446,desktop,Macintosh,(not set),(none),Americas,8,3,5320.0
ORD201702212335,desktop,Chrome OS,AW - Accessories,cpc,Americas,16,5,5318.88
ORD201706181547,desktop,Macintosh,(not set),(none),Americas,30,7,5315.9999999999991
ORD201611152133,desktop,Windows,(not set),referral,Americas,28,5,5253.2199999999993
ORD201707221570,mobile,Android,(not set),cpm,Americas,34,5,5225.9699999999993
ORD201609161797,desktop,Macintosh,(not set),(none),Americas,28,1,5215.8400000000011
ORD201608261486,desktop,Macintosh,(not set),(none),Americas,30,1,5205.1999999999989
ORD201608171884,desktop,Windows,(not set),(none),Americas,28,1,5193.2999999999984
ORD201701182187,desktop,Windows,(not set),(none),Americas,18,3,5177.3400000000011
